name,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9,opt10
4PX,,,,,,,,,,
A-1,,,,,,,,,,
AAA Cooper,,,,,,,,,,
ABF,,,,,,,,,,
Asendia,,,,,,,,,,
Best Buy,,,,,,,,,,
Blue Package,,,,,,,,,,
Canada Post,,,,,,,,,,
CEVA,,,,,,,,,,
China Post,,,,,,,,,,
Conway,,,,,,,,,,
DHL,,,,,,,,,,
DHL eCommerce,,,,,,,,,,
Estes,,,,,,,,,,
FedEx,,,,,,,,,,
Fedex Freight,,,,,,,,,,
FedEx SmartPost,,,,,,,,,,
First Mile,,,,,,,,,,
Hongkong Post,,,,,,,,,,
Hunter Logistics,,,,,,,,,,
India Post,,,,,,,,,,
JCEX,,,,,,,,,,
Lasership,,,,,,,,,,
Newgistics,,,,,,,,,,
Old Dominion,,,,,,,,,,
OnTrac,,,,,,,,,,
OSM,,,,,,,,,,
Pilot Freight,,,,,,,,,,
R+L,,,,,,,,,,
Roadrunner,,,,,,,,,,
Royal Mail,,,,,,,,,,
Saia,,,,,,,,,,
SF Express,,,,,,,,,,
SFC,,,,,,,,,,
South Eastern Freight Lines,,,,,,,,,,
StreamLite,,,,,,,,,,
UPS,,,,,,,,,,
UPS Freight,,,,,,,,,,
UPS Mail Innovations,,,,,,,,,,
Urban Express,,,,,,,,,,
USPS,,,,,,,,,,
Watkins and Shepard,,,,,,,,,,
XPO Freight,,,,,,,,,,
Yanwen,,,,,,,,,,
Yellow Freight,,,,,,,,,,
Yun Express,,,,,,,,,,
CyberSavings,,,,,,,,,,
YF Logistics,,,,,,,,,,
YHT,,,,,,,,,,
Landmark,,,,,,,,,,
ShipEntegra,,,,,,,,,,
Cainiao,,,,,,,,,,
Letian,,,,,,,,,,
PTT Kargo,,,,,,,,,,
Other,,,,,,,,,,